pen down
(507,-8)
(502,-16)
(498,-24)
(494,-31)
(488,-38)
(485,-40)
(481,-45)
(477,-51)
(474,-55)
(467,-62)
(462,-68)
(457,-74)
(454,-76)
(448,-80)
(442,-83)
(438,-84)
(436,-84)
(429,-87)
(421,-89)
(414,-91)
(411,-92)
(403,-94)
(396,-96)
(393,-96)
(386,-97)
(378,-98)
(373,-100)
(371,-100)
(365,-100)
(363,-100)
(358,-101)
(357,-101)
(354,-101)
(351,-102)
(348,-102)
(344,-103)
(341,-104)
(339,-104)
(336,-106)
(334,-107)
(333,-107)
(330,-108)
(328,-109)
(326,-110)
(326,-111)
(325,-111)
(324,-112)
(323,-112)
(322,-112)
(322,-114)
(320,-115)
(318,-116)
(318,-117)
(317,-118)
(316,-119)
(314,-120)
(314,-120)
(312,-120)
(310,-120)
(307,-120)
(306,-120)
(301,-120)
(298,-119)
(297,-118)
(291,-115)
(286,-111)
(278,-105)
(274,-101)
(268,-96)
(261,-91)
(258,-88)
(251,-82)
(248,-80)
(242,-76)
(234,-71)
(229,-67)
(226,-65)
(219,-61)
(213,-59)
(208,-56)
(203,-53)
(200,-52)
(194,-49)
(191,-48)
(186,-44)
(182,-40)
(175,-37)
(172,-36)
(166,-32)
(161,-29)
(154,-27)
(144,-24)
(141,-24)
(137,-24)
(129,-23)
(121,-23)
(116,-24)
(106,-24)
(97,-26)
(86,-27)
(81,-28)
(70,-30)
(60,-32)
(45,-34)
(40,-35)
(31,-36)
(26,-37)
(16,-38)
(11,-38)
(1,-39)
(-8,-40)
(-19,-41)
(-23,-42)
(-32,-44)
(-42,-46)
(-50,-48)
(-60,-52)
(-65,-53)
(-76,-58)
(-79,-60)
(-84,-62)
(-91,-65)
(-97,-68)
(-103,-72)
(-106,-73)
(-112,-76)
(-115,-78)
(-118,-80)
(-119,-80)
(-122,-83)
(-125,-84)
(-126,-84)
(-126,-85)
(-128,-87)
(-130,-88)
(-130,-88)
(-130,-88)
(-132,-88)
(-133,-89)
(-134,-89)
(-135,-89)
(-136,-88)
(-138,-88)
(-139,-88)
(-142,-87)
(-144,-85)
(-147,-84)
(-151,-82)
(-154,-80)
(-157,-78)
(-160,-75)
(-162,-72)
(-164,-69)
(-167,-64)
(-170,-56)
(-171,-52)
(-174,-44)
(-174,-43)
(-174,-41)
(-174,-40)
(-174,-40)
(-174,-40)
(-174,-39)
(-174,-39)
(-173,-38)
(-173,-38)
(-171,-37)
(-170,-36)
(-169,-36)
(-167,-36)
(-165,-36)
(-164,-36)
(-162,-36)
(-161,-36)
(-158,-36)
(-157,-35)
(-155,-35)
(-153,-35)
(-149,-35)
(-146,-34)
(-142,-34)
(-136,-34)
(-128,-33)
(-118,-32)
(-113,-32)
(-95,-30)
(-82,-29)
(-75,-29)
(-68,-29)
(-46,-29)
(-39,-30)
(-22,-31)
(-14,-32)
(2,-35)
(19,-39)
(34,-43)
(48,-48)
(55,-50)
(69,-55)
(83,-59)
(96,-62)
(103,-64)
(115,-68)
(128,-70)
(138,-73)
(144,-75)
(155,-78)
(166,-82)
(176,-85)
(180,-88)
(192,-91)
(202,-93)
(213,-96)
(218,-96)
(228,-98)
(239,-98)
(244,-98)
(258,-97)
(269,-96)
(282,-96)
(294,-95)
(301,-94)
(312,-94)
(326,-93)
(331,-94)
(350,-94)
(355,-95)
(368,-96)
(380,-96)
(386,-96)
(398,-97)
(410,-98)
(414,-99)
(426,-100)
(435,-103)
(444,-106)
(450,-107)
(458,-109)
(465,-111)
(474,-112)
(478,-112)
(493,-113)
(498,-112)
(507,-112)
(514,-112)
(523,-110)
(535,-108)
(545,-107)
(555,-104)
(566,-103)
(569,-102)
(579,-100)
(584,-100)
(598,-98)
(604,-97)
(613,-96)
(618,-95)
(629,-93)
(638,-92)
(649,-90)
(658,-88)
(664,-87)
(675,-84)
(688,-80)
(698,-76)
(703,-74)
(713,-70)
(720,-66)
(724,-64)
(734,-59)
(746,-51)
(751,-48)
(758,-44)
(760,-42)
(762,-40)
(762,-40)
(762,-40)
(763,-40)
(763,-40)
(763,-39)
(762,-38)
(762,-37)
(758,-36)
(754,-34)
(747,-32)
(744,-31)
(738,-29)
(730,-29)
(722,-30)
(718,-32)
(708,-35)
(700,-38)
(695,-40)
(686,-43)
(678,-46)
(670,-49)
(666,-50)
(658,-53)
(648,-56)
(637,-61)
(624,-67)
(618,-70)
(606,-75)
(596,-79)
(590,-81)
(578,-84)
(567,-88)
(556,-90)
(550,-91)
(538,-92)
(522,-94)
(518,-94)
(513,-94)
(502,-92)
(491,-91)
(481,-88)
(471,-84)
(468,-83)
(460,-80)
(453,-77)
(447,-76)
(446,-75)
(441,-73)
(436,-72)
(433,-72)
(428,-71)
(423,-70)
(419,-69)
(418,-69)
(416,-68)
(416,-68)
(415,-68)
(415,-68)
(415,-68)
(415,-68)
(417,-66)
(422,-62)
(428,-58)
(439,-52)
(452,-45)
(462,-41)
(468,-40)
(479,-36)
(490,-35)
(501,-34)
(506,-33)
(518,-33)
(526,-35)
(537,-38)
(541,-40)
(549,-44)
(558,-51)
(563,-53)
(572,-58)
(582,-63)
(591,-68)
(596,-70)
(606,-73)
(615,-76)
(626,-79)
(634,-81)
(642,-83)
(647,-84)
(654,-85)
(656,-86)
(662,-87)
(669,-88)
(674,-89)
(679,-90)
(683,-91)
(694,-91)
(698,-90)
(707,-89)
(717,-88)
(722,-86)
(732,-84)
(742,-81)
(754,-78)
(758,-76)
(766,-73)
(772,-72)
(780,-68)
(786,-67)
(794,-65)
(797,-64)
(802,-63)
(806,-63)
(809,-63)
(813,-64)
(816,-64)
(818,-65)
(820,-67)
(821,-67)
(822,-68)
(822,-69)
(820,-72)
(816,-78)
(813,-81)
(806,-87)
(794,-94)
(790,-96)
(778,-100)
(772,-101)
(758,-104)
(747,-107)
(742,-108)
(730,-109)
(718,-110)
(705,-110)
(697,-110)
(682,-110)
(668,-110)
(654,-111)
(646,-112)
(631,-112)
(615,-112)
(600,-112)
(591,-111)
(574,-111)
(555,-111)
(545,-111)
(526,-112)
(509,-112)
(490,-113)
(480,-114)
(461,-115)
(440,-117)
(421,-119)
(401,-121)
(390,-123)
(370,-126)
(350,-130)
(342,-132)
(323,-134)
(305,-134)
(282,-131)
(272,-128)
(249,-125)
(225,-122)
(202,-120)
(178,-120)
(166,-120)
(144,-119)
(122,-118)
(100,-116)
(90,-115)
(70,-112)
(51,-108)
(34,-104)
(25,-103)
(9,-99)
(-6,-96)
(-19,-93)
(-24,-92)
(-34,-92)
(-46,-92)
(-49,-92)
(-54,-94)
(-55,-95)
(-57,-96)
(-58,-100)
(-57,-107)
(-56,-111)
(-51,-118)
(-43,-126)
(-39,-130)
(-32,-136)
(-20,-141)
(-10,-141)
(-6,-141)
